round,variant,filename,prompt,negative_prompt,score,clip,aesthetic,timestamp
2,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v3_00002_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
1,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v1_00006_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
1,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v2_00006_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
1,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v3_00005_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
2,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v1_00005_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
2,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v2_00004_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
2,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v3_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
3,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r3_v1_00001_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
3,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r3_v2_00001_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
3,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r3_v3_00001_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:36:28
1,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v1_00008_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T18:00:41
1,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v2_00008_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T18:03:12
